PM10;PM2-5;O3;CO;NO2;SO2
37,8;19;0,7;0,7;24,3;0
38,3;23;0,6;0,4;23,5;0
35,9;15;0,7;0,4;21,8;0
43,6;22;0,7;1,1;23,6;0
67,5;30;0,8;1,4;24,2;0
81,7;44;2,1;1,9;31,7;0
93,3;35;4,8;0;0;0
93,6;48;0;0;0;0
55,4;23;41,5;0;0;0
46,1;16;46,5;0,2;10,5;0
23,7;10;45,2;0,2;8,9;0
18,1;18;42,1;0,1;4,8;0
12;12;41,3;0,1;5,2;0
23,8;6;66,9;0,4;15,1;0
62,2;20;55,2;0,4;18,1;0
55,1;18;45,9;0,5;19,8;0
59,7;26;41,6;0,5;20;0
44,6;14;33,7;0,5;19,3;0
43,7;27;26,7;0,4;15,5;0
33,3;16;34,1;0,3;10,4;0
39,6;15;18,4;0,5;19,8;0
44,4;20;5,2;0,8;28,2;0
42,7;24;5,6;0,6;26,1;0
40,7;20;1,4;0,5;29,1;0
40,7;21;0,8;0,6;26,4;0
41,7;27;0,6;0,8;24,6;0
39;21;0,4;0,7;23,5;0
40,7;22;0,5;0,6;22,6;0
51,1;23;1,1;1,1;20,7;0
49,6;30;2,9;1,5;24,2;0
70,5;35;13,7;1,1;30,5;0
68,1;36;29,5;0,9;34,9;0
79,6;44;44,9;0,6;23,9;0
61,2;33;56,3;0,5;17,6;0
41,2;29;39,3;0,2;6,3;0
0;14;80,3;0,6;18,2;0
79,6;40;97,8;0,6;20,4;0
72,9;40;69,5;0,5;17,2;0
61;18;51,9;0,5;14,9;0
45,1;20;38,6;0,6;19,5;0
42,6;25;34;0,4;13,6;0
27,3;18;40,3;0,2;5,2;0
29,7;15;38,2;0,3;5,8;0
23,5;11;37,5;0,2;5,3;0
22,7;7;22,7;0,4;14,7;0
24,5;8;4,3;0,7;24,9;0
34,7;12;4,4;0,7;24,6;0
29,8;14;1;1,1;27,7;0
41,2;19;0,7;1,3;26,1;0
48,3;15;0,6;1,2;23,7;0
41,9;22;0,6;0,7;22,9;0
28,3;15;0,8;0,6;20,9;0
30;19;1,1;0,8;20,1;0
37,3;15;4;0,9;19,4;0
