PM10;PM2-5;O3;CO;NO2;SO2
47,4;13;12,8;0,4;13,4;0,7
48,2;10;13;0,4;13,6;0,6
37,5;9;12,5;0,4;14,8;0,6
40,9;9;9,9;0,4;13,5;0,6
33,1;8;7,7;0,4;12,9;0,7
38,5;11;3,8;0,3;20,1;0,9
40,7;13;3,3;0,3;18,6;1,1
35,5;25;2,4;0,3;20;1,2
31,7;22;1,1;0,4;20,8;1,4
42,9;22;0,8;0,4;21,3;1,9
58,5;27;0,5;0,6;19,5;2
58,2;24;1;0,6;17,3;2,3
61,9;24;5,1;0,5;13,6;7,6
73,6;29;8,6;0,5;14,2;9,9
69,1;15;14,6;0,3;9,2;4,1
76,3;9;18,8;0,3;6,5;3
63,7;17;23,8;0,3;4,8;1,5
60,3;12;25,6;0,2;3,1;0,9
50,3;10;24,4;0,2;2,7;0,6
48,5;9;23,8;0,2;2,4;0,5
44;21;34,7;0,3;7,2;0,9
37,8;28;37,1;0,4;8,5;1,4
45,1;26;33;0,4;10,7;1,2
51,9;24;23,3;0,5;13,6;1,4
58,1;33;10,6;0,7;23;1,2
67;34;5,5;0,5;18;1,1
75,5;42;1,3;0,6;21,6;1
90,9;31;1,4;0,6;19,6;1,3
95,1;24;0,8;0,5;21,2;2,1
62,9;15;3,1;0,4;16,3;1,6
45,4;17;1,9;0,4;16,9;0,8
43;16;0,8;0,4;17,7;0,6
45;23;0,9;0,4;18,1;1
42,8;17;0,6;0,4;17,6;1,8
55;27;0,7;0,6;17,8;1,8
66;25;0,8;0,7;17,4;1,6
65,3;33;3,9;0,5;13,7;1,8
68,6;40;9,3;0,5;11,5;1,9
75,8;24;15,9;0,4;0;0
52,6;0;11,1;0,3;0;0
36;0;12,7;0;4,2;0
44;0;0;0,2;2,4;0
49,1;8;19,1;0,2;1,9;0
34,8;11;19,8;0,2;1,7;0
32,7;9;20;0,2;2,2;0
46,8;23;26,3;0,4;5,4;0
42,7;24;29,5;0,4;7,3;0
38,1;34;27,4;0,5;10,6;0,2
48,4;37;21;0,7;16;0,3
59,5;36;14,1;0,6;18,2;0,3
46;23;6,9;0,4;18,6;1,1
47,6;17;4,6;0,4;20,2;1,4
46,9;19;4,8;0,4;19;1,2
36,4;16;3,3;0,3;20,5;1,4
37,1;15;4,2;0,3;16,5;1,3
34,2;21;2;0,3;20,2;1,8
42;17;1,9;0,3;21,1;5,2
46,2;32;1,6;0,4;22,7;5,4
75,5;36;1,7;0,5;23,4;7
85,7;44;2,2;0,8;22,5;7
98,1;34;3,8;0,5;15,9;6,4
103,4;38;8,6;0,6;15,1;3,8
102,4;30;19;0,4;13,4;2,9
68,8;20;27,2;0,3;6,5;1,5
57,8;15;31,6;0,2;5,1;1,2
43,4;11;32,9;0,2;3,5;0,9
49,9;11;31,7;0,2;3,3;0,7
39,5;10;30,6;0,2;2,8;0,8
48,8;27;35,2;0,3;4,3;1,2
45;26;33,8;0,3;4,5;1,3
54,6;18;32,3;0,4;5,6;1,4
44,5;25;29,2;0,4;7,4;1,6
47,2;37;22,7;0,5;11,9;1,7
40,6;28;16,3;0,4;12,1;1,2
47,1;26;13,1;0,5;13,3;1,3
57,8;20;10,6;0,4;16,4;1,6
49,2;22;8,8;0,4;17;2,4
40,7;22;9,2;0,3;14,9;3,5
44,9;22;6,9;0,3;16,4;2,5
37;27;5,1;0,4;18,4;2
30,8;21;2,8;0,4;19,8;1,4
46,6;31;2;0,5;19,7;1,6
60,2;48;2;0,7;22,9;3,1
93,7;36;2,2;0,8;19,7;2,5
91,3;46;4,6;0,7;17,1;5,6
97,5;38;10;0,6;14,9;3,2
105,7;25;21,7;0,5;14;2,7
78,9;22;31,6;0,4;8,8;1,6
72,2;23;36,6;0,3;7;1
58,8;22;40,3;0,3;4,9;0,8
76,7;28;48,9;0,4;7,2;1,2
61,7;40;54,5;0,4;7,8;1,3
52;30;46,5;0,4;5,4;1
43,5;27;31,8;0,3;4,4;0,9
