PM10;PM2.5;OZONO;CO;NO2;SO2
32;17;20,8;0,4;12,5;0
37;20;18,6;0,4;9,1;0
37;22;9,3;0,5;17;0
40;18;19,1;0,3;7;0
40;24;13,5;0,3;9,8;0
30;16;9,5;0,4;10,9;0
35;24;10;0,3;8,2;0
32;26;6,4;0,3;10,4;0
42;28;1;0,4;14,7;0
41;27;2,2;0,4;12,6;0
38;33;2,8;0,4;13,9;0
32;25;1,5;0,7;13,9;0
51;34;4,1;1;14,6;0
60;36;17,3;0,3;6,5;0
37;19;18,5;0,3;7,5;0
34;24;27,4;0,2;2,3;0
22;12;31,8;0,2;3,7;0
36;25;45,6;0,4;7,3;0
49;25;40,4;0,2;3,8;0
38;20;36;0,1;2,7;0
19;10;33,9;0,2;5,5;0
32;21;28,4;0,3;12,3;0
33;16;21,9;0,3;10,1;0
24;19;19,8;0,2;5,1;0
18;12;11,3;0,4;14,8;0
31;25;12;0,4;12,4;0
33;23;0,6;0,7;15,1;0
35;14;0,7;0,8;13,9;0
41;27;0,5;0,8;11,7;0
35;24;0,6;0,7;10,5;0
44;23;0,7;0,4;9,9;0
31;20;0,7;0,6;10,1;0
48;28;0,6;0,4;8,3;0
31;24;0,6;0,5;9,4;0
42;25;4,5;0,3;10,5;0
30;14;8,3;0,2;8,8;0
20;11;1,8;1,4;15,3;0
90;48;0;0;0;0
90;63;0;0;0;0
24;9;26,6;0,1;2,3;0
25;10;29,1;0,1;0,8;0
18;6;29,3;0,1;1,5;0
15;7;33;0,1;0;0
17;8;46,2;0,1;2,4;0
33;18;19,4;0,5;24,7;0
39;38;20,7;0,7;30,6;0
45;38;19;0,5;22,5;0
35;26;24,7;0,2;7,6;0
31;18;22,6;0,2;8,9;0
25;13;8,1;0,3;17,1;0
27;15;10,7;0,1;10,5;0
17;9;1,4;0,4;17,9;0
22;16;0,7;0,5;14,8;0
28;14;0,7;0,3;10,7;0
19;12;0,6;0,4;10,3;0
22;20;0,5;0,5;8,7;0
36;16;0,6;0,5;8,4;0
38;32;0,6;0,5;10,3;0
35;26;0,6;0,5;9,9;0
30;26;0,9;0,5;10,7;0
29;22;2,6;0,5;9,1;0
26;26;7,8;0,5;8,9;0
42;36;16,1;0,3;6,6;0
42;24;19,3;0,3;6,5;0
32;27;29;0,2;4,1;0
24;21;37,4;0,1;1,7;0
19;10;39,7;0,2;2,7;0
22;9;36,6;0,1;1,9;0
24;9;17,5;0,2;6,6;0
13;13;10,1;0,3;12,8;0
23;12;9,6;0,4;11,6;0
21;15;2,4;0,7;18;0
22;14;1,5;0,5;14,8;0
21;14;0,7;0,5;13,9;0
27;14;0,8;0,5;13;0
25;20;0,9;0,4;12,7;0
21;18;0,6;0,5;11,6;0
23;17;0,7;0,4;11;0
36;17;0,6;0,6;9,1;0
29;17;0,6;0,3;8,4;0
27;13;0,6;0,3;10,2;0
34;22;0,6;0,3;10,4;0
37;17;0,7;0,4;10,8;0
37;20;0,6;0,8;12,1;0
54;30;3,4;0,5;10,4;0
35;26;8,6;0,4;6,8;0
37;31;17,6;0,2;2,7;0
23;2;21,3;0,1;1;0
27;8;20,4;0,2;2,4;0
16;9;20,9;0,2;2,8;0
20;12;22,9;0,1;2;0
14;10;18,9;0,2;4,3;0
20;9;25,3;0,2;3,3;0
